Date,BCE.TO,RCI.B.TO,TRI.TO,QBR.B.TO,TCL.A.TO,CCA.TO,T.TO
2017-08-30,0.003690628,0.008607593,0.011059463,0.000633461,0.015530326,0.006298573,0.003329215
2017-08-31,-0.004699691,-0.002298269,-0.003147294,0.008827275,0.01200571,0.011624218,0.001771267
2017-09-01,-0.004890661,-0.008627484,-0.013932326,0.003759493,-0.002472184,0.001817925,-0.004433605
2017-09-05,-0.005424464,-0.003875737,-0.013948516,-0.008583939,-0.000412654,-0.005247984,-0.003561215
2017-09-06,-0.003917669,-0.006545268,0.003236315,-0.000420426,0.009856321,-0.00064425,-0.005141405
2017-09-07,-0.007880465,-0.002191084,-0.007567599,0,0.05910913,-0.014829637,-0.012014747
2017-09-08,0.000859503,0.009512749,0,-0.01440696,0.020587952,-0.013946322,-0.000917864
2017-09-11,-0.000171991,0.000310255,0.000361732,-0.003848769,-0.014060859,-0.004766327,0.004123988
2017-09-12,0.004287798,0.006187191,0.008461495,-0.003003608,0.030899202,0.006092505,0.006380768
2017-09-13,-0.003085279,-0.014757301,-0.00485215,-0.006034829,0.001483178,-0.030385347,-0.004781926
2017-09-14,0.002569231,-0.008233303,-0.003067163,0.016720764,-0.014931188,0.022402041,0.005917097
2017-09-15,0.00725523,0.002381938,0.00054182,-0.013914269,0.004502759,-0.001336514,0.006333264
2017-09-18,0.003950873,0.009628157,0.00916869,0.01050754,0.001496703,0.007330151,0.003826005
2017-09-19,0.009384983,0.014658036,0.000894464,0.001065847,0.008190437,0.007386469,0.001570852
